F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0 10844  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  7947 10885 10844  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7947 10886 10885  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
0 S  7102 10939  8882  0  80   0 - 14881 poll_s pts/17   00:00:00 vi
4 S     0 11256  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  7102 11287 11256  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7102 11288 11287  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
0 S  8159 11290 30283  0  80   0 -  1426 n_tty_ pts/59   00:00:00 pico
1 S     0 11397     2  0  80   0 -     0 worker ?        00:00:03 kworker/0:0
0 S  7929 11438 32613  0  80   0 - 14764 poll_s pts/67   00:00:00 vi
0 S  8264 11475 29468  0  80   0 -  1394 n_tty_ pts/56   00:00:00 pico
4 S     0 11490  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  7398 11517 11490  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7398 11518 11517  0  80   0 -  5997 n_tty_ pts/27   00:00:00 bash
4 S     0 11535  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7034 11582 11535  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7034 11583 11582  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
1 S     0 11591     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:1
4 S     0 11634  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
4 S     0 11644  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  8291 11670 11634  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  8291 11671 11670  0  80   0 -  5973 wait   pts/24   00:00:00 bash
5 S  7034 11951 11644  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7034 11952 11951  0  80   0 -  5990 wait   pts/11   00:00:00 bash
1 S     0 12061     2  0  80   0 -     0 bdi_wr ?        00:00:00 flush-0:25
0 T  7369 12299 32287  0  80   0 -  1460 signal pts/66   00:00:00 pico
0 T  7555 12304 25583  0  80   0 -  1459 signal pts/46   00:00:00 pico
4 S     0 12312  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  7102 12352 12312  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7102 12353 12352  0  80   0 -  5992 n_tty_ pts/39   00:00:00 bash
0 S  5241 12624  5694  0  80   0 -  1280 wait   pts/34   00:00:00 man
1 S  7496 12634     1  0  80   0 -  4852 poll_s ?        00:00:01 screen
0 S  7496 12635 12634  0  80   0 -  5199 wait   pts/19   00:00:00 bash
0 S  5241 12637 12624  0  80   0 -  1153 n_tty_ pts/34   00:00:00 pager
4 S     0 12644  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  4327 12671 12644  0  80   0 -  7948 poll_s ?        00:00:00 sshd
0 S  4327 12672 12671  0  80   0 -  3916 poll_s ?        00:00:00 sftp-server
4 S     0 12787  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7934 12815 12787  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7934 12816 12815  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
0 S  7935 12838   512  0  80   0 - 14760 poll_s pts/68   00:00:00 vi
0 T  7555 12877 25583  0  80   0 -  1460 signal pts/46   00:00:00 pico
4 S     0 13012  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7938 13019 30623  0  80   0 -  1360 n_tty_ pts/60   00:00:00 pico
5 S  7945 13048 13012  0  80   0 -  7910 poll_s ?        00:00:02 sshd
0 S  7945 13049 13048  0  80   0 -  5972 wait   pts/23   00:00:00 bash
1 S     0 13318     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:2
4 S     0 13326  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
4 S     0 13334  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7934 13336 21104  0  80   0 - 14760 poll_s pts/31   00:00:00 vi
5 S  6979 13380 13326  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6979 13381 13380  0  80   0 -  6029 n_tty_ pts/35   00:00:00 bash
5 S  5147 13662 13334  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  5147 13663 13662  0  80   0 -  5996 n_tty_ pts/40   00:00:00 bash
1 S     0 13754     2  0  80   0 -     0 worker ?        00:00:10 kworker/u:2
0 S  8295 13949  5239  0  80   0 - 14764 poll_s pts/78   00:00:00 vi
0 S  7345 14020  4367  0  80   0 - 14762 poll_s pts/74   00:00:00 vi
0 S  8308 14037  2299  0  80   0 - 14774 poll_s pts/71   00:00:00 vi
0 S  7926 14040  1991  0  80   0 - 14762 poll_s pts/70   00:00:00 vi
0 T  7945 14043 13049  0  80   0 -   873 signal pts/23   00:00:00 a.out
0 S  7928 14062 22536  0  80   0 - 14774 poll_s pts/36   00:00:00 vi
0 S  8310 14103 31201  0  80   0 -  1328 n_tty_ pts/64   00:00:00 pico
0 S  7555 14124 25583  0  80   0 -  1460 n_tty_ pts/46   00:00:00 pico
0 S  7930 14155   847  0  80   0 - 14759 poll_s pts/22   00:00:00 vi
4 S     0 14217  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6979 14246 14217  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6979 14247 14246  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
0 S  3648 14249  3662  0  80   0 -  1368 n_tty_ pts/73   00:00:00 joe
0 S  4898 14254 21650  0  80   0 - 14787 poll_s pts/33   00:00:00 vim
0 S  7932 14277  4671  0  80   0 -  1458 n_tty_ pts/75   00:00:00 pico
0 S  7422 14284 20481  0  80   0 -  1459 n_tty_ pts/26   00:00:00 pico
0 S  8288 14285 30909  0  80   0 - 14769 poll_s pts/61   00:00:00 vi
0 S  7314 14309 24881  0  80   0 - 14764 poll_s pts/43   00:00:00 vim
0 S  7369 14316 32287  0  80   0 -  1460 n_tty_ pts/66   00:00:00 pico
1 S     0 14318     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
4 S     0 14339  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
4 S     0 14340  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6979 14374 14339  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6979 14383 14374  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
5 S  6979 14396 14340  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6979 14397 14396  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
0 S  8294 14410 21942  0  80   0 - 14774 poll_s pts/13   00:00:00 vi
0 S  8291 14421 11671  0  80   0 -   873 n_tty_ pts/24   00:00:00 a.out
0 S  7034 14422 11952  0  80   0 -  1426 n_tty_ pts/11   00:00:00 pico
0 S  7945 14429 13049  0  80   0 -  1526 n_tty_ pts/23   00:00:00 pico
0 S  5745 14431     1  0  80   0 -   558 wait   pts/16   00:00:00 sh
0 R  5745 14433 14431  0  80   0 -  1176 -      pts/16   00:00:00 ps
4 S     0 15015  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  1054 15045 15015  0  80   0 -  7944 poll_s ?        00:00:03 sshd
0 S  1054 15046 15045  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
4 S     0 15815  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7696 15845 15815  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7696 15846 15845  0  80   0 -  5973 n_tty_ pts/0    00:00:00 bash
1 S  3879 17129     1  0  80   0 -   912 poll_s ?        00:03:03 tmux
0 S  3879 17130 17129  0  80   0 -  5172 n_tty_ pts/63   00:00:00 zsh
4 S     0 17337  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  5769 17368 17337  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  5769 17369 17368  0  80   0 -  5998 n_tty_ pts/5    00:00:00 bash
4 S     0 18319  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7381 18360 18319  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7381 18361 18360  0  80   0 -  5972 n_tty_ pts/21   00:00:00 bash
1 S  5241 20323     1  0  80   0 -  4788 poll_s ?        00:00:00 screen
0 S  5241 20324 20323  0  80   0 -  5128 n_tty_ pts/29   00:00:00 bash
4 S     0 20449  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7422 20480 20449  0  80   0 -  8289 poll_s ?        00:00:04 sshd
0 S  7422 20481 20480  0  80   0 -  5984 wait   pts/26   00:00:00 bash
4 S     0 20730  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  7373 20763 20730  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7373 20765 20763  0  80   0 -  5972 n_tty_ pts/30   00:00:00 bash
4 S     0 21031  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
4 S     0 21033  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
4 S     0 21046  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  7373 21072 21031  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7373 21073 21072  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
5 S  7934 21103 21033  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7934 21104 21103  0  80   0 -  6027 wait   pts/31   00:00:00 bash
5 S  6782 21373 21046  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  6782 21374 21373  0  80   0 -  5992 n_tty_ pts/32   00:00:00 bash
1 S  4232 21413     1  0  80   0 -   933 poll_s ?        00:09:05 tmux
0 S  4232 21414 21413  0  80   0 -  6064 n_tty_ pts/14   00:00:00 bash
4 S     0 21618  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  4898 21649 21618  0  80   0 -  7910 poll_s ?        00:00:01 sshd
0 S  4898 21650 21649  0  80   0 -  5999 wait   pts/33   00:00:00 bash
4 S     0 21894  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  8294 21941 21894  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  8294 21942 21941  0  80   0 -  6049 wait   pts/13   00:00:00 bash
4 S     0 22214  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7928 22535 22214  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7928 22536 22535  0  80   0 -  5972 wait   pts/36   00:00:00 bash
0 S  2128 22602 31808  0  80   0 - 42740 poll_s pts/62   00:01:01 gedit
